"sekce","vyska","vzdalenost","100 ","125 ","160 ","200 ","250 ","315 ","400 ","500 ","630 ","800 ","1000 ","1250 ","1600 ","2000 ","2500 ","3150 ","4000 ","5000 "
"vegetace",1.5,7.5,-1.3,-0.9,-5,-7.4,3.2,6.5,2.9,-2.1,-2.8,0.7,-1.2,0.9,2.8,2.2,4.3,4.2,1.7,0.3
"vegetace",1.5,15,-1.2,-0.4,-3.5,-5.7,-8.3,-2.9,2.6,6.5,3.9,0.1,-2.2,-1.9,0.2,4.7,1.9,2.6,-2.8,0.1
"vegetace",1.5,30,-1.6,-0.6,-4.8,-8.4,-10.7,-4.8,0.6,3.1,4,2.5,3.2,0.8,-3,-2.2,-5.9,-2.1,0.9,-0.3
"pas",1.5,7.5,-11,-14.4,-22.5,-27.4,-20.2,-17.4,-15.3,-16.2,-15.6,-18.1,-19,-14.6,-15.4,-17.5,-15.7,-18.7,-18.1,-19.6
"pas",1.5,15,-16.2,-19.1,-24.9,-28.8,-29.5,-28.1,-24.8,-21.5,-20.3,-22.4,-24.1,-22.8,-22.8,-20.6,-20.8,-24.8,-26.5,-25.7
"pas",1.5,30,-22.9,-25.7,-32.7,-38,-38.7,-37.5,-34,-31.5,-28,-28.4,-26,-25.3,-26.8,-28.3,-31.6,-31.7,-31.8,-33.4
"vegetace",4,7.5,-3.7,2.6,3.3,0.2,-0.1,-1.1,1.2,0.1,-2.6,-0.9,1.2,0.1,-0.6,0.2,-1.3,-0.5,3.5,5.2
"vegetace",4,15,-3.1,-2.4,-5.8,0.4,7.4,3.4,-0.5,-3.8,0.6,0.5,-4.8,-1.6,-1.8,-1,0.4,0.5,-0.7,0.3
"vegetace",4,30,-2.1,-2.2,-7.1,-8.1,-1.8,4.6,4.5,3.9,0.7,-1.6,-1.6,3.2,-0.5,1.3,4.2,0.7,-0.7,-2.5
"pas",4,7.5,-20.9,-25.3,-21.8,-17.4,-11.4,-15.9,-20.4,-16,-19.2,-17.6,-18.6,-22.3,-21.8,-15.8,-20,-23.3,-20.4,-21
"pas",4,15,-19.5,-23.4,-31.3,-31.8,-20.9,-19.9,-20.1,-22.9,-22.6,-22.9,-25.7,-25.6,-25.5,-24.7,-27.4,-28.1,-27.9,-27.7
"pas",4,30,-23.7,-27.8,-35.7,-39.1,-30.9,-29,-27.9,-26.2,-26.4,-28.4,-29.9,-29.7,-31.5,-30.4,-33.2,-34.6,-33.9,-34.8
