sekce,vyska,vzdalenost,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1000 Hz,1250 Hz,1600 Hz,2000 Hz,2500 Hz,3150 Hz,4000 Hz,5000 Hz
vegetace,1.5,7.5,-5.9,-6.4,-3.6,-2.8,7.0,7.7,3.3,-1.7,-3.5,3.2,-0.5,-0.6,1.8,0.0,-1.7,0.6,-0.2,1.0
vegetace,1.5,15,-6.7,-10.1,-7.2,-6.3,-4.0,-0.4,3.5,5.4,2.8,1.1,1.6,0.5,4.7,1.9,-4.4,1.4,-0.3,-0.8
vegetace,1.5,30,-5.5,-9.7,-10.0,-12.4,-9.1,-1.6,0.9,4.9,2.7,2.1,2.6,-2.2,-2.1,-1.8,-4.2,-3.1,1.3,0.5
pas,1.5,7.5,-15.6,-19.9,-21.1,-22.8,-16.4,-16.2,-14.9,-15.8,-16.3,-15.6,-18.3,-16.1,-16.4,-19.7,-21.7,-22.3,-20.0,-18.9
pas,1.5,15,-21.7,-28.8,-28.6,-29.4,-25.2,-25.6,-23.9,-22.6,-21.4,-21.4,-20.3,-20.4,-18.3,-23.4,-27.1,-26.0,-24.0,-26.6
pas,1.5,30,-26.8,-34.8,-37.9,-42.0,-37.1,-34.3,-33.7,-29.7,-29.3,-28.8,-26.6,-28.3,-25.9,-27.9,-29.9,-32.7,-31.4,-32.6
vegetace,4,7.5,-6.9,7.3,7.5,1.3,-1.4,-1.5,5.2,-2.5,1.5,0.4,2.7,1.6,0.7,1.3,2.3,2.8,3.7,4.9
vegetace,4,15,-5.0,-5.9,-1.1,3.6,5.9,2.5,0.1,-0.5,1.4,1.3,-0.4,-3.3,-1.3,0.2,0.6,-0.2,-1.8,-0.3
vegetace,4,30,-7.0,-10.5,-8.2,-4.0,0.2,4.7,4.2,4.5,2.1,0.1,2.2,1.1,-0.3,3.8,5.5,2.3,-0.9,-1.1
pas,4,7.5,-24.1,-20.6,-17.6,-16.3,-12.7,-16.3,-16.4,-18.6,-15.1,-16.3,-17.1,-20.8,-20.5,-14.7,-16.4,-20.0,-20.2,-21.3
pas,4,15,-21.4,-26.9,-26.6,-28.6,-22.4,-20.8,-19.5,-19.6,-21.8,-22.1,-21.3,-27.3,-25.0,-23.5,-27.2,-28.8,-29.0,-28.3
pas,4,30,-28.6,-36.1,-36.8,-35.0,-28.9,-28.9,-28.2,-25.6,-25.0,-26.7,-26.1,-31.8,-31.3,-27.9,-31.9,-33.0,-34.1,-33.4
