sekce,vyska,vzdalenost,100 Hz,125 Hz,160 Hz,200 Hz,250 Hz,315 Hz,400 Hz,500 Hz,630 Hz,800 Hz,1000 Hz,1250 Hz,1600 Hz,2000 Hz,2500 Hz,3150 Hz,4000 Hz,5000 Hz
vegetace,1.5,7.5,-2.6,-5.2,-6.8,8.2,5.9,-1.1,-2.8,-1.6,1.8,0.8,-1.6,2.6,-1.6,1.6,2.4,2.4,1.6,-0.9
vegetace,1.5,15,-2.8,-7.8,-9.1,1.6,10.1,4.3,1.7,-0.1,0.0,0.0,-3.1,0.8,1.9,-1.2,-2.9,1.8,-0.1,-2.0
vegetace,1.5,30,-4.5,-11.0,-10.3,0.5,8.9,3.1,1.4,0.3,0.3,0.4,-1.3,-3.1,-3.1,-2.9,-2.4,0.1,-4.1,-3.4
pas,1.5,7.5,-15.5,-23.5,-29.9,-21.7,-14.2,-18.6,-16.1,-16.8,-16.7,-19.7,-17.7,-16.8,-16.9,-20.2,-19.5,-18.5,-18.0,-22.4
pas,1.5,15,-20.8,-30.2,-35.9,-29.8,-22.0,-25.1,-21.7,-22.4,-20.3,-20.3,-24.3,-25.3,-21.9,-24.6,-27.5,-24.3,-23.2,-27.9
pas,1.5,30,-27.7,-39.4,-45.0,-39.8,-33.2,-35.4,-31.5,-31.5,-29.2,-27.6,-27.4,-26.4,-26.1,-31.1,-34.6,-36.4,-32.8,-36.0
vegetace,4,7.5,0.9,1.5,0.2,-0.2,-1.7,-0.9,0.4,-1.3,-0.1,1.5,0.6,1.8,0.2,-1.0,-1.4,2.6,-3.3,0.0
vegetace,4,15,-2.1,-3.8,3.9,5.1,2.0,-2.9,-2.9,1.2,1.1,-0.4,1.3,-0.9,0.5,2.1,3.2,3.9,2.0,-1.7
vegetace,4,30,-5.2,-6.5,0.0,7.2,4.6,0.4,-0.3,-1.2,-1.3,-1.4,0.6,1.3,-2.0,2.5,1.0,-1.4,-3.5,-2.8
pas,4,7.5,-24.2,-24.5,-20.1,-15.5,-13.2,-20.5,-17.8,-17.4,-19.0,-16.7,-19.3,-22.7,-21.7,-20.3,-21.8,-25.2,-23.5,-26.4
pas,4,15,-23.1,-31.4,-31.9,-24.3,-18.1,-23.4,-21.7,-24.1,-23.3,-21.3,-25.3,-25.3,-25.2,-30.1,-31.4,-30.7,-28.6,-31.3
pas,4,30,-31.2,-38.5,-38.0,-32.4,-27.4,-30.3,-26.5,-27.3,-26.6,-28.5,-32.1,-28.1,-28.5,-34.2,-35.4,-36.8,-36.0,-38.4
